ID,Lat
11025010,5.878333333
11045010,5.690555556
11075010,6.356388889
11075020,6.324944444
11085010,6.533333333
11115020,6.758055556
11115040,6.786944444
11125010,7
11135020,7.516666667
11145010,7.383333333
12015010,7.35
12015020,7.826111111
12015050,7.916666667
12015060,7.773972222
12015070,7.816666667
12015080,7.716666667
12015090,7.538333333
12025030,8.542944444
12045010,8.846638889
12045020,9.072166667
13015020,7.966666667
13015030,7.983333333
13015040,8.016666667
13035010,7.95
13075020,8.913888889
13075030,8.839527778
13075050,8.793888889
13085010,9.301722222
13085030,9.370777778
13095020,9.530138889
14015010,10.79486111
14015020,10.44725
14015030,10.38972222
15015020,10.99241667
15015050,11.12833333
15015060,11.08
15015100,11.29166667
15015110,11.0915
15035020,11.2525
15045010,11.26388889
15065010,11.52822222
15065050,11.13116667
15065130,11.13758333
15075030,11.78105556
15075060,12.22430556
15085020,12.17888889
16015010,7.930277778
16015020,7.373111111
16015030,7.569722222
16015040,8.233333333
16015090,7.424444444
16015100,7.576666667
16015140,7.517361111
16025010,7.848888889
16025020,8.233333333
16025030,7.774583333
16025040,8.167777778
16025080,7.55
16035010,8.638333333
16055010,8.315277778
16055020,8.442222222
16055040,8.087222222
16055060,8.2175
16055080,8.407777778
16055090,8.470555556
16055100,8.237777778
21015020,1.821694444
21015030,1.888472222
21025020,2.066666667
21025030,2.079166667
21035020,1.913888889
21055020,2.378277778
21055030,2.241472222
21065040,2.2525
21085020,2.652194444
21085030,2.760444444
21095010,2.828805556
21105030,2.521694444
21105050,2.616333333
21115020,2.94875
21115080,3.222527778
21115100,2.942638889
21115120,3.183333333
21115150,2.933333333
21125010,2.942638889
21125020,2.882194444
21125040,3.083333333
21135020,3.855777778
21135030,3.573833333
21145040,3.373361111
21145070,3.311027778
21155040,3.533055556
21165010,3.787638889
21165030,3.896222222
21185020,4.187611111
21185030,4.008944444
21185040,4.277611111
21195060,4.192722222
21195070,4.310111111
21195110,3.964722222
21195120,4.395777778
21205230,4.633333333
21205420,4.691416667
21205520,4.7
21205580,4.598361111
21205610,4.55
21205660,4.581888889
21205670,4.770888889
21205710,4.669333333
21205720,4.50575
21205740,5.117722222
21205770,4.728805556
21205790,4.705583333
21206050,4.788333333
21206220,4.638083333
21206260,4.798638889
21206550,4.7
21206560,4.661111111
21206570,4.705583333
21206700,4.691027778
21215080,4.231416667
21215100,4.4415
21245010,4.423138889
21245040,4.430111111
21255080,4.78375
21255090,5.002694444
21255120,5.026666667
21255140,4.821611111
21255150,4.855416667
22025010,3.166666667
22045010,3.722472222
22055020,3.458666667
22065040,3.906916667
23025020,5.262777778
23025040,5.2975
23035020,5.471388889
23055040,5.418333333
23065100,4.90175
23065110,5.484166667
23065120,5.141555556
23065200,5.028194444
23075010,5.855527778
23085030,6.376277778
23085040,6.131666667
23085080,6.485833333
23085160,6.311888889
23085170,6.233333333
23085200,6.168611111
23085210,6.348888889
23085220,6.157666667
23095010,6.465
23105030,6.774111111
23125040,6.616111111
23125060,5.758333333
23125070,5.3
23125100,5.514916667
23125120,6.308611111
23155030,7.026388889
23175020,7.011694444
23185010,7.456111111
23195040,7.144722222
23195090,7.365833333
23195130,7.121472222
23195180,7.735277778
23195200,7.473888889
23205030,7.965277778
23205050,7.885416667
23215030,8.228888889
23215050,8.614444444
23215060,8.616666667
24015120,5.467277778
24015190,5.333333333
24015220,5.511694444
24015270,5.997222222
24015300,5.655833333
24015360,5.696222222
24015370,6.471805556
24025020,6.532222222
24025030,5.967027778
24025040,6.47
24025050,6.274166667
24035040,5.579444444
24035090,5.783333333
24035120,5.802444444
24035130,5.553555556
24035150,5.778694444
24035170,5.745916667
24035180,5.783333333
24035250,6.188333333
24035260,6.517722222
24035310,6.549527778
24035330,6.326194444
24035340,5.676944444
24035400,6.845277778
24035420,5.96225
24055030,6.792777778
24055040,6.549722222
24065010,7.246111111
24065030,7.076666667
25025020,9.735277778
25025040,8.7
25025080,9.333888889
25025090,9.046333333
25025100,9.281944444
25025140,8.1
25025150,8.295194444
25025180,8.935277778
25025190,8.399333333
25025240,8.546388889
25025250,9.363666667
25025320,9.303888889
25025330,8.957055556
26025070,2.509777778
26025090,2.58475
26025100,2.674444444
